year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,5,17,3,25,48,10,5.4,0,,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,30,3,1,0,0,13,1,0,1,0,0,0,0,3,0,13,0,0,0
2000,6,10,18,23,29,33,6.4,0,,TAIWAN:  NAN-TOU,23.843,121.225,30,2,1,0,0,36,1,0,1,0,0,0,0,2,0,36,0,0,0
2001,12,18,4,2,58,14,6.8,0,,TAIWAN,23.954,122.734,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,31,6,52,50,33,7.1,0,,TAIWAN:  TAIPEI,24.279,122.179,30,5,1,0,0,200,3,0,2,100,2,0,0,5,0,200,0,100,0
2003,12,10,4,38,11,10,6.8,0,,"TAIWAN:  T'AI-TUNG, KAO-HSIUN",23.039,121.362,30,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
2004,5,1,7,56,13,45,5.2,0,,TAIWAN:  HUALIEN: TAROKO GORGE NATIONAL PARK,24.081,121.611,30,2,1,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0
2004,10,15,4,8,50,94,6.6,0,,TAIWAN:  T'AO-YUAN,24.53,122.694,30,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2006,4,1,10,2,19,9,6.2,0,,TAIWAN:  T'AIT-TUNG,22.868,121.278,30,0,0,0,0,42,1,0,1,0,2,0,0,0,0,42,0,0,0
2006,12,26,12,26,21,10,7.0,0,,TAIWAN:  PINGTUNG,21.799,120.547,30,2,1,0,0,40,1,0,1,0,2,0,0,2,0,40,0,0,0
2009,12,19,13,2,17,57,6.4,0,,TAIWAN:  HUALIEN,23.796,121.605,30,0,0,0,0,14,1,0,1,0,0,0,1,0,0,14,0,0,0
2010,3,4,0,18,51,21,6.3,0,,TAIWAN:  KAO-HSIUNG,22.918,120.795,30,0,0,0,0,96,2,1000,4,0,0,0,0,0,0,96,1000,0,340
2012,2,26,2,35,0,28,5.9,0,,TAIWAN:  PINGTUNG,22.661,120.891,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,3,27,2,3,19,19,6.0,0,,"TAIWAN:  NANTOU COUNTY, TAIPEI",23.828,121.215,30,1,1,0,0,86,2,1,2,0,0,0,3,1,0,86,1,0,0
2013,6,2,5,43,3,17,6.3,0,,TAIWAN:  JENAI,23.789,121.141,30,4,1,0,0,21,1,0,1,0,0,0,0,4,0,21,0,0,0
2015,4,20,1,42,38,29,6.4,4,,TAIWAN:  TAIPEI,24.203,122.316,30,1,1,0,0,1,1,0,1,0,0,19,1,1,0,1,0,0,19
2016,2,5,19,57,6,10,6.4,7,,TAIWAN:  TAINAN,22.97,120.46,30,117,3,0,0,525,3,0,3,0,1,0,1,117,0,525,0,0,0
