year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2001,6,23,20,33,14,33,8.4,8,,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,160,77,2,68,2,2713,4,0,4,22399,4,0,0,103,138,2713,200,25399,0
2001,7,5,13,53,48,62,6.6,0,,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,160,0,0,0,0,0,0,0,2,300,3,0,0,0,0,0,0,300,0
2001,7,7,9,38,43,33,7.6,0,,"PERU:  AREQUIPA, ARICA",-17.543,-72.077,160,1,1,0,0,30,1,0,2,200,3,0,0,1,0,30,0,200,0
2001,8,9,2,6,59,33,5.8,0,,PERU:  ANTABAMA,-14.258,-72.683,160,4,1,0,0,15,1,0,2,0,3,0,0,4,0,15,0,0,0
2005,9,26,1,55,37,115,7.5,0,,"PERU:  LAMAS, CHACHAPOYAS, MOYOBAMBA, TARAPOTA",-5.678,-76.398,160,5,1,0,0,60,2,0,2,0,3,0,0,5,0,60,0,0,0
2005,10,1,22,19,51,20,5.3,0,,PERU:  MOQUEGUA,-16.635,-70.794,160,0,0,0,0,10,1,0,1,300,3,0,0,0,0,10,0,300,0
2005,10,31,2,10,28,40,5.4,0,,PERU:  N,-5.852,-78.704,160,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,20,0
2006,10,20,10,48,56,23,6.7,4,,PERU:  CENTRAL,-13.457,-76.677,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,8,15,23,40,57,39,8.0,8,,"PERU:  ICA, PISCO, LIMA",-13.386,-76.603,160,514,3,0,0,1090,4,0,4,39700,4,0,0,514,0,1090,0,39700,0
2008,3,29,12,51,24,51,5.3,0,,PERU:  OFF COAST,-12.178,-77.164,160,0,0,0,0,1,1,0,1,5,1,0,0,0,0,1,0,5,0
2008,7,1,0,17,33,33,5.5,0,,"PERU:  CENTRAL:  OXAPAMPA, HUANCABAMBA",-10.368,-75.512,160,0,0,0,0,45,1,0,1,60,1,25,1,0,0,45,0,60,25
2008,7,8,9,13,7,123,6.2,0,,PERU:  AREQUIPA,-15.986,-71.748,160,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
2009,1,21,18,17,3,10,4.6,0,,PERU:  PACCHA,-11.779,-75.626,160,0,0,0,0,0,0,0,2,50,1,500,3,0,0,0,0,50,500
2010,5,6,2,42,47,37,6.2,0,,PERU:  TACNA,-18.058,-70.547,160,0,0,0,0,11,1,0,2,0,0,0,0,0,0,11,0,0,0
2011,10,28,18,54,34,24,6.9,0,,PERU:  SAN VICENTE DE CANETE,-14.438,-75.966,160,1,1,0,0,103,3,0,2,134,3,0,0,1,0,103,0,134,0
2012,1,30,5,11,0,43,6.4,0,,PERU:  ICA,-14.168,-75.635,160,0,0,0,0,119,3,0,1,0,0,0,1,0,0,119,0,0,0
2013,2,22,21,1,47,8,5.3,0,,PERU:  S,-15.748,-71.425,160,0,0,0,0,0,0,0,1,0,0,80,2,0,0,0,0,0,80
2013,9,25,16,42,0,31,7.1,6,,PERU:  AREQUIPA,-16.15,-74.87,160,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2014,9,28,2,35,19,10,5.1,7,,PERU:  PARURO PROVINCE,-13.843,-71.695,160,8,1,0,0,6,1,0,1,106,3,0,3,8,0,6,0,106,0
2015,2,28,20,10,56,10,4.5,3,,PERU:  AREQUIPA:  CAYLLOMA:  CABANACONDE,-15.693,-71.934,160,0,0,0,0,0,0,0,2,64,2,500,3,0,0,0,0,64,500
2015,11,24,22,45,0,636,7.6,4,,PERU-BRAZIL,-10.77,-71.41,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,11,24,22,50,0,606,7.6,4,,PERU-BRAZIL,-10.07,-70.98,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8,15,2,58,59,10,5.4,0,,PERU:  AREQUIPA,-15.613,-71.671,160,4,1,0,0,67,2,0,1,689,3,1291,3,4,0,67,0,689,1291
2016,12,1,22,40,15,10,6.2,0,,"PERU:  PUNO, LAMPA",-15.294,-70.823,160,1,1,0,0,17,1,0,1,8,1,40,1,1,0,17,0,8,40
2017,7,18,2,5,19,44,6.4,0,,PERU:  AREQUIPA,-16.416,-73.636,160,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2017,8,11,21,45,9,41,5.6,0,,PERU: AREQUIPA,-16.299,-73.474,160,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
