year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2008,1,1,6,32,27.9,7745,6,5.6,0,KYRGYZSTAN,,40.288,72.985,40,0,0,0,0,0,0,0,3,5385,4,0,0,0,0,0,0,5385,0,KYRGYZSTAN:  OSH
2008,1,5,1,56,45.4,7746,66,5.6,0,GUATEMALA,,14.129,-91.479,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA"
2008,1,7,3,12,26.8,7747,12,5.9,0,INDONESIA,,-0.795,134.012,170,0,0,0,0,6,1,0,1,0,0,22,1,0,0,6,0,0,22,"INDONESIA: NEW GUINEA: MANOKWARI,"
2008,1,9,22,24,3.8,7748,10,4.6,0,ALGERIA,,35.616,-0.57,15,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,ALGERIA:  ORAN
2008,1,12,22,44,47.3,7749,34,5.0,0,BANGLADESH,,22.761,92.333,60,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH"
2008,1,22,17,14,57.9,7750,20,6.1,0,INDONESIA,,1.011,97.442,170,1,1,0,0,5,1,0,1,0,0,0,0,1,0,5,0,0,0,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI
2008,2,3,7,34,12.1,7764,10,5.9,0,CONGO,,-2.296,28.9,10,38,1,0,0,717,3,0,3,99,2,815,3,38,0,717,0,99,815,CONGO:  BUKAVU
2008,2,6,6,9,40.4,7765,10,4.3,0,INDIA,,23.433,87.111,60,1,1,0,0,50,1,0,2,0,0,0,0,1,0,50,0,0,0,INDIA:  WEST BENGAL
2008,2,9,7,12,5.8,7766,3,5.1,0,MEXICO,,32.456,-115.315,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEXICO:  BAJA CALIFORNIA
2008,2,13,20,55,31.5,7767,14,4.9,0,IRAN,,31.73,51.2,140,0,0,0,0,10,1,0,1,0,0,0,0,0,0,10,0,0,70,IRAN:  NASIRABAD
2008,2,14,2,7,46.7,7768,10,4.9,0,RWANDA,,-2.404,28.918,10,1,1,0,0,109,3,0,1,0,0,5,1,1,0,109,0,0,5,RWANDA:  GISENYI
2008,2,15,10,36,19.0,7769,10,5.0,0,LEBANON,,33.327,35.305,140,0,0,0,0,10,1,0,1,0,0,0,1,0,0,10,0,0,0,LEBANON-SYRIA:  BAALBEC
2008,2,20,8,8,30.5,7870,26,7.4,0,INDONESIA,,2.768,95.964,170,3,1,0,0,25,1,0,0,0,0,0,0,3,0,25,0,0,0,INDONESIA:  SUMATERA:  ACEH PROVINCE
2008,2,21,14,16,2.7,7871,7,6.0,8,USA,NV,41.153,-114.867,150,0,0,0,0,3,1,0,2,0,0,720,3,0,0,3,0,0,720,NEVADA:  WELLS
2008,2,25,8,36,33.0,7743,25,6.5,0,INDONESIA,,-2.486,99.972,60,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,INDONESIA:  SUMATRA:  PADANG
2008,2,27,0,56,47.8,7872,18,4.8,0,UK,,53.403,-0.332,120,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,UNITED KINGDOM:  ENGLAND:  LINCOLNSHIRE
2008,2,29,4,46,,7873,10,4.3,0,BRAZIL,,-3.7,-40.35,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BRAZIL:  SOBRAL
2008,3,9,11,10,41.0,7874,10,4.5,0,INDIA,,23.33,70.592,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,INDIA:  GUJARAT
2008,3,20,22,32,57.9,7875,10,7.2,0,CHINA,,35.49,81.467,40,0,0,0,0,0,0,0,3,2200,4,0,0,0,0,0,0,2200,0,CHINA:  XINJIANG PROVINCE
2008,3,29,12,51,24.7,7876,51,5.3,0,PERU,,-12.178,-77.164,160,0,0,0,0,1,1,0,1,5,1,0,0,0,0,1,0,5,0,PERU:  OFF COAST
2008,4,9,12,46,12.7,7800,33,7.3,0,NEW CALEDONIA,,-20.071,168.892,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW CALEDONIA: LOYALTY ISLANDS
2008,4,15,3,3,4.6,8127,33,6.1,0,GUATEMALA,,13.564,-90.599,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,GUATEMALA
2008,4,18,9,36,59.1,7823,14,5.3,0,USA,,38.452,-87.886,150,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,ILLINOIS:  WEST SALEM
2008,4,26,6,40,10.6,8128,1,5.0,0,USA,,39.52,-119.93,150,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NEVADA:  FALLON
2008,4,28,18,33,34.2,8138,32,6.4,0,VANUATU,,-19.941,168.953,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VANUATU ISLANDS
