year,month,DH,MS,IN,DD,HT,HM
2000,1,5,0,2558,73,44600,8800
2000,2,1,0,16,0,100,100
2000,3,0,0,0,0,0,0
2000,4,0,0,0,0,0,0
2000,5,49,0,277,30,10000,0
2000,6,108,0,2291,38,23,623
2000,7,8,0,65,0,357,1375
2000,8,1,0,414,43,0,1390
2000,9,0,0,41,50,0,0
2000,10,0,0,136,150,111,2380
2000,11,33,0,432,0,0,86
2000,12,17,0,41,0,0,0
2001,1,20849,0,171559,3376,447226,508632
2001,2,319,0,3908,2348,101302,75706
2001,3,2,0,161,500,0,3700
2001,4,0,0,0,0,0,0
2001,5,3,0,605,36,84,70
2001,6,81,68,2863,0,22399,0
2001,7,1,0,32,0,650,250
2001,8,4,0,15,0,0,0
2001,9,0,0,0,0,0,0
2001,10,1,0,221,0,3400,3400
2001,11,0,0,0,0,0,0
2001,12,0,0,100,0,0,0
2002,1,4,0,50,0,507,209
2002,2,45,0,348,0,0,0
2002,3,1186,0,500,1,1900,2600
2002,4,58,0,342,0,194,3135
2002,5,2,0,27,0,730,740
2002,6,261,0,1355,300,0,0
2002,7,0,0,11,0,0,0
2002,8,48,0,0,0,8,252
2002,9,8,0,98,500,40,904
2002,10,39,0,776,796,1000,900
2002,11,33,0,149,56,100,1094
2002,12,2,0,32,0,16388,3100
2003,1,30,0,302,0,2655,7765
2003,2,266,0,4000,0,71000,0
2003,3,4,0,20,0,0,0
2003,4,0,0,90,0,45,45
2003,5,2454,0,11135,5233,45346,44458
2003,6,0,0,1,0,0,50
2003,7,19,0,1213,486,268879,269404
2003,8,4,0,1050,0,7900,200
2003,9,6,0,782,100,300,10
2003,10,12,0,75,40,22000,12000
2003,11,6,0,120,0,2611,2600
2003,12,31015,0,30168,332,821,12
2004,1,1,0,329,12,6000,0
2004,2,697,0,1664,401,6661,1420
2004,3,10,0,158,74,38095,95
2004,4,3,0,5,0,0,0
2004,5,38,0,431,165,4,50
2004,6,0,0,0,0,0,0
2004,7,23,0,73,0,0,5
2004,8,5,0,626,50,18556,65601
2004,9,1,0,66,0,600,0
2004,10,40,0,3260,28000,26001,20000
2004,11,75,0,593,55,1789,16712
2004,12,1001,0,71,10000,0,0
2005,1,3,0,139,0,0,0
2005,2,613,0,1411,0,14000,8000
2005,3,1306,0,978,0,365,300
2005,4,0,0,0,0,0,0
2005,5,0,0,0,0,0,0
2005,6,11,0,200,0,544,0
2005,7,1,0,39,0,7,6
2005,8,0,0,91,0,3701,3700
2005,9,5,0,60,0,0,0
2005,10,76215,0,146625,6680,320,0
2005,11,29,0,8100,0,150000,0
2005,12,12,0,5,0,401,101
2006,1,0,0,3,0,0,0
2006,2,6,0,46,0,420,126
2006,3,76,0,1339,0,303,62
2006,4,0,0,110,55,0,0
2006,5,5749,0,38639,3100,127000,127000
2006,6,2,0,18,0,12,0
2006,7,25,0,125,0,721,721
2006,8,1,0,31,0,0,0
2006,9,1,0,3,0,1,0
2006,10,0,0,0,73,0,0
2006,11,0,0,0,0,55996,0
2006,12,10,0,154,0,3115,0
2007,1,4,0,6,0,2187,0
2007,2,0,0,0,0,0,0
2007,3,68,0,1020,0,43786,44174
2007,4,4,0,13,0,365,502
2007,5,0,0,0,0,0,0
2007,6,3,0,329,310,0,0
2007,7,21,0,1091,12500,2120,875
2007,8,528,0,1112,0,39711,20
2007,9,25,0,179,0,56460,56425
2007,10,1,0,12,0,0,0
2007,11,8,0,212,0,0,0
2007,12,2,0,10,0,2293,2214
2008,1,2,0,11,0,5385,22
2008,2,43,0,925,0,99,1540
2008,3,0,0,1,0,2205,0
2008,4,0,0,0,0,0,0
2008,5,87666,0,375234,86000,5780000,5780000
2008,6,16,0,629,0,1156,614
2008,7,3,0,270,0,1350,1315
2008,8,52,0,976,0,392545,393295
2008,9,10,0,65,0,0,0
2008,10,262,0,630,0,3487,4514
2008,11,8,0,83,4,0,1000
2008,12,2,0,46,0,60,5430
2009,1,28,17,350,0,568,1340
2009,2,0,0,108,0,5613,928
2009,3,0,0,5,0,3,10
2009,4,329,0,1557,2500,15200,200
2009,5,7,0,57,0,135,25
2009,6,1,0,4,0,0,0
2009,7,0,0,368,0,6,6
2009,8,3,0,133,0,440,5632
2009,9,1209,0,2628,2200,0,181682
2009,10,8,0,0,10,1,1
2009,11,2,0,497,2,1000,1000
2009,12,6,0,291,0,1111,1111
2010,1,316009,1,30067,8022,97608,189646
2010,2,404,0,12015,30000,0,500000
2010,3,51,0,206,1000,287,287
2010,4,2233,70,12441,1650,17000,0
2010,5,2,0,54,0,0,0
2010,6,18,0,0,0,2556,0
2010,7,1,0,306,0,0,0
2010,8,3,0,214,0,700,1001
2010,9,1,0,5,6500,0,0
2010,10,1,0,15,0,0,100
2010,11,2,0,216,0,1000,5000
2010,12,7,0,25,0,0,1820
2011,1,3,0,16,0,200,200
2011,2,182,0,1501,15000,100000,700
2011,3,1576,0,6525,220003,128550,296428
2011,4,10,0,146,0,3,0
2011,5,12,0,125,0,0,0
2011,6,1,0,57,3000,110,50
2011,7,14,0,86,0,0,0
2011,8,0,0,21,0,0,22823
2011,9,122,0,178,22,6000,6000
2011,10,607,0,2745,1500,5873,7882
2011,11,40,0,33,10,2467,103
2011,12,2,0,65,0,0,370
2012,1,0,0,357,0,0,0
2012,2,51,62,118,15,15000,0
2012,3,3,0,92,0,805,0
2012,4,12,0,12,0,0,0
2012,5,25,0,410,15800,3100,96
2012,6,79,0,490,68,6911,30641
2012,7,2,0,2,0,26,20
2012,8,313,0,3044,0,471,1097
2012,9,83,0,841,1000,37000,133000
2012,10,0,0,0,0,0,1
2012,11,74,0,385,0,3020,7561
2012,12,8,0,23,0,0,0
2013,1,1,0,15,0,0,71
2013,2,0,0,1023,0,172,6929
2013,3,1,0,116,1,1564,2500
2013,4,305,21,12988,100,62,2442
2013,5,5,0,115,19,1136,95532
2013,6,4,0,104,0,5370,2364
2013,7,136,5,3518,1968,20525,22531
2013,8,5,0,27,0,736,55536
2013,9,848,0,680,0,32641,14118
2013,10,223,8,980,51,0,160
2013,11,8,0,200,0,354,5556
2013,12,0,0,0,0,0,0
2014,1,1,0,36,178,1,121
2014,2,0,0,16,0,67,1001
2014,3,0,0,18,10,0,20
2014,4,10,0,271,103,301,7637
2014,5,6,0,413,513,3410,18070
2014,6,0,0,0,0,0,0
2014,7,4,0,37,0,0,50
2014,8,625,114,4181,700,28673,180293
2014,9,8,0,7,0,121,67
2014,10,2,0,323,0,5,41
2014,11,5,0,110,0,80,27400
2014,12,1,0,15,0,434,17000
2015,1,0,0,11,0,0,2000
2015,2,4,0,6,14,64,2506
2015,3,2,0,52,0,555,29146
2015,4,8201,366,17867,10000,299588,269126
2015,5,117,0,2812,0,0,0
2015,6,18,0,2,0,0,23
2015,7,8,0,270,0,3004,51
2015,8,3,0,34,0,0,92
2015,9,7,1,76,600,2305,10304
2015,10,401,0,1800,109,29245,79893
2015,11,4,0,7,9,234,2357
2015,12,8,0,97,5,500,0
2016,1,15,0,148,0,4,230
2016,2,117,0,525,0,0,0
2016,3,0,0,0,0,0,0
2016,4,719,9,7779,7900,86998,29692
2016,5,1,0,222,0,0,32
2016,6,0,0,0,0,0,0
2016,7,0,0,4,0,0,731
2016,8,306,15,455,5500,689,1491
2016,9,23,0,321,458,1044,6387
2016,10,2,0,19,0,2,1161
2016,11,11,0,10,0,2,50
2016,12,109,0,617,233,454,18983
2017,1,40,0,4,0,0,0
2017,2,8,0,202,0,215,3042
2017,3,3,0,81,0,13,0
2017,4,3,0,20,0,507,2108
2017,5,11,0,466,0,1505,383
2017,6,7,0,54,0,12,305
2017,7,6,0,949,4,0,0
2017,8,31,0,599,500,100,72556
2017,9,472,0,13,8300,5237,82703
2017,10,1,0,0,0,0,14
2017,11,633,0,12998,803,15501,15825
2017,12,7,0,259,0,0,4825
