year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2002,1,14,15,36,26,33,5.6,0,,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,160,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2002,4,1,19,59,32,71,6.4,0,,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,4,18,16,8,36,62,6.6,0,,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,160,0,0,0,0,19,1,0,2,34,1,575,3,0,0,19,0,34,575
2003,6,20,13,30,41,33,6.8,6,,"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,160,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0
2004,5,3,4,36,50,21,6.6,6,,CHILE: CANETE,-37.695,-73.406,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,6,15,11,16,31,38,5.9,6,,"CHILE: CARAHUE, IMPERIAL, TEMUCO",-38.854,-73.155,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,6,13,22,44,33,116,7.7,0,,CHILE:  TARAPACA,-19.987,-69.197,160,11,1,0,0,200,3,0,0,544,3,0,0,11,0,200,0,544,0
2005,8,14,2,39,40,11,5.8,0,,CHILE:  TARAPACA,-19.78,-68.98,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,4,21,17,53,46,37,6.2,0,,CHILE:  SOUTHERN,-45.243,-72.648,160,2,1,0,0,0,0,0,1,0,0,2,1,10,0,0,0,0,2
2007,11,14,15,40,50,40,7.7,8,,"CHILE:  TOCOPILLA, MARIA ELENA",-22.247,-69.89,160,2,1,0,0,65,2,0,3,0,4,0,0,2,0,65,0,0,0
2007,12,15,18,22,27,25,5.9,0,,"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO",-32.689,-71.695,160,0,0,0,0,4,1,0,1,0,1,0,0,0,0,4,0,0,0
2010,2,27,6,34,11,23,8.8,9,,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,160,402,3,0,0,12000,4,30000,4,0,0,500000,4,558,0,12000,30000,0,500000
2010,3,11,14,39,43,11,6.9,0,,CHILE:  RANCAGUA,-34.29,-71.891,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,2,11,20,5,30,28,6.8,0,,CHILE:  OFF COAST CENTRAL,-36.474,-73.125,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,25,22,37,6,41,7.2,0,,"CHILE:  PARRAL, SANTIAGO",-35.2,-72.217,160,1,1,0,0,14,1,0,1,0,0,0,2,1,0,14,0,0,0
2012,4,17,3,50,15,29,6.7,0,,CHILE:  VALPARAISO,-32.625,-71.365,160,2,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0
2012,5,14,10,0,40,10,6.3,0,,CHILE:  ARICA; PERU:  TACNA,-17.678,-69.591,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,3,16,21,16,0,21,6.7,6,,CHILE:  IQUIQUE,-19.965,-70.814,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,4,1,23,46,26,25,8.2,8,,"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.61,-70.769,160,7,1,0,0,0,0,100,4,0,0,2600,4,7,0,0,100,0,2600
2014,4,3,2,43,11,22,7.7,8,,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,10,9,2,14,44,17,7.0,0,,CHILE: EASTER ISLAND REGION,-32.108,-110.811,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,9,16,22,55,26,22,8.3,9,,CHILE:  CENTRAL,-31.573,-71.674,160,7,1,1,1,14,1,600,4,2305,4,10044,4,15,1,14,600,2305,10044
2015,11,11,1,54,37,10,6.9,7,,CHILE:  LA SERENA,-29.439,-72.105,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,12,25,14,22,27,35,7.6,0,,CHILE,-43.416,-73.88,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,4,24,21,38,26,25,6.9,0,,CHILE:  VALPARAISO,-33.073,-72.051,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8,2,7,15,13,92,5.4,0,,CHILE:  SANTIAGO,-33.212,-70.626,160,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
