year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2013,1,5,8,58,19.3,9953,10,7.5,0,USA,AK,55.393,-134.652,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALASKA:  SOUTHEASTERN
2013,1,21,22,22,52.7,9957,12,6.1,0,INDONESIA,,4.927,95.907,60,1,1,0,0,15,1,0,1,0,0,71,2,1,0,15,0,0,71,INDONESIA:  SUMATERA:  N
2013,2,6,1,12,25.8,9958,24,7.9,8,SOLOMON ISLANDS,,-10.799,165.114,170,0,0,0,0,0,0,0,1,0,0,0,0,10,0,15,2,588,478,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS
2013,2,8,15,26,38.4,9963,21,7.0,0,SOLOMON ISLANDS,,-10.928,166.018,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS
2013,2,9,14,16,7.8,9964,145,7.0,0,COLOMBIA,,1.135,-77.393,160,0,0,0,0,15,1,0,2,100,2,1900,4,0,0,15,0,100,1900,"COLOMBIA:  CAUCA, NARINO, VALLE DEL CAUCA, RISARALDA"
2013,2,15,3,20,26.0,9999,0,4.2,0,RUSSIA,,55.15,61.41,40,0,0,0,0,1000,3,0,3,0,0,4000,4,0,0,1000,0,0,4000,RUSSIA:  CHELYABINSK (METEOR EXPLOSION)
2013,2,19,2,47,1.2,9965,10,4.9,0,CHINA,,27.226,103.071,30,0,0,0,0,8,1,0,2,72,2,949,3,0,0,8,0,72,949,CHINA:  YUNNAN PROVINCE:  QIAOJIA
2013,2,22,21,1,47.2,9966,8,5.3,0,PERU,,-15.748,-71.425,160,0,0,0,0,0,0,0,1,0,0,80,2,0,0,0,0,0,80,PERU:  S
2013,3,3,5,41,16.9,9967,8,5.4,0,CHINA,,25.98,99.812,30,0,0,0,0,30,1,0,3,700,3,2500,4,0,0,30,0,700,2500,CHINA:  YUNNAN PROVINCE
2013,3,11,3,1,37.4,10000,10,5.1,0,CHINA,,40.119,77.466,40,0,0,0,0,0,0,0,2,864,3,0,0,0,0,0,0,864,0,CHINA:  XINJIAN PROVINCE:  S
2013,3,27,2,3,19.8,9975,19,6.0,0,TAIWAN,,23.828,121.215,30,1,1,0,0,86,2,1,2,0,0,0,3,1,0,86,1,0,0,"TAIWAN:  NANTOU COUNTY, TAIPEI"
2013,4,9,11,52,49.9,9974,12,6.3,0,IRAN,,28.428,51.593,140,37,1,0,0,850,3,0,2,0,3,700,3,37,0,850,0,0,700,"IRAN:  BUSHEHR PROVINCE:  SHANBE, KAKI, SENA"
2013,4,10,19,14,2.0,10182,4,5.4,0,HONDURAS,,15.52,-87.159,100,0,0,0,0,0,0,0,1,12,1,66,2,0,0,0,0,12,66,HONDURAS: ATLANTIDA
2013,4,12,20,33,17.5,9980,14,5.8,0,JAPAN,,34.369,134.828,30,0,0,0,0,24,1,0,1,0,0,0,1,0,0,24,0,0,0,JAPAN
2013,4,16,10,44,20.1,9976,80,7.7,0,IRAN,,28.033,61.996,140,40,1,0,0,300,3,0,3,0,0,1000,3,40,0,300,0,0,1000,IRAN; PAKISTAN:  MASHKAL
2013,4,17,8,57,33.9,10035,9,5.8,0,JAPAN,,33.958,139.352,30,0,0,0,0,3,1,0,1,0,0,0,2,0,0,3,0,0,0,JAPAN: MIYAKEJIMA
