year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,7,16,3,21,45,33,6.4,0,,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,170,0,0,0,0,6,1,0,2,0,0,0,3,0,0,6,0,0,0
2001,1,1,6,57,4,33,7.5,0,,PHILIPPINES:  MINDANAO,6.898,126.579,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,5,21,16,9,31,7.5,0,,PHILIPPINES:  MINDANAO,6.033,124.249,170,15,1,0,0,100,2,1,2,0,0,800,3,15,0,100,1,0,800
2003,2,15,5,47,58,10,5.8,6,,PHILIPPINES: LUZON:  DIMASALANG,12.171,123.921,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,2,15,11,1,59,10,6.3,6,,"PHILIPPINES: MASBATE, DIMASALANG",12.168,124.079,170,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2003,11,18,17,14,22,35,6.5,7,,PHILIPPINES:  SAMAR:  CAN-AVID,12.025,125.416,170,1,1,0,0,21,1,0,2,1,1,0,3,1,0,21,0,1,0
2004,5,19,21,28,10,35,4.1,6,,PHILIPPINES:  BOHOL ISLAND:  TUBIGON,9.926,124.038,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,2,16,7,15,54,79,4.9,0,,PHILIPPINES:  MINDANAO,6.614,126.24,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,11,7,4,12,38,72,5.1,0,,PHILIPPINES:  BOHOL ISLAND:  MABINI,9.721,124.647,170,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,8,15,10,25,16,10,6.0,0,,PHILIPPINES:  LUZON:  LEGASPI,12.897,124.319,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,9,18,11,53,48,10,5.7,0,,"PHILIPPINES:  COTABATO, SULTAN KUDARAT",6.513,124.715,170,0,0,0,0,91,2,0,1,0,0,0,0,0,0,91,0,0,76
2010,7,23,22,51,12,586,7.6,4,,PHILIPPINES:  CELEBES SEA:  MORO GULF,6.486,123.467,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,3,15,12,1,50,5.5,0,,PHILIPPINES:  MINDANAO,9.457,125.935,170,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2011,11,7,9,43,15,46,5.0,0,,PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE,7.904,125.185,170,0,0,0,0,31,1,0,1,0,0,23,1,0,0,31,0,0,23
2012,2,6,3,49,12,11,6.7,0,,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999,123.206,170,51,2,62,2,112,3,15,3,15000,4,0,0,51,62,112,15,15000,0
2012,3,5,23,6,30,37,5.6,0,,PHILIPPINES:  MASBATE ISLAND,12.354,123.7,170,0,0,0,0,10,1,0,1,1,1,0,2,0,0,10,0,1,0
2012,3,16,7,58,2,18,5.8,0,,PHILIPPINES:  SURIGAO,10.037,125.633,170,0,0,0,0,55,2,0,1,4,1,0,1,0,0,55,0,4,0
2012,8,31,12,47,33,28,7.6,0,,"PHILIPPINES:  CAGAYAN DE ORO, TACLOBAN",10.811,126.638,170,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
2013,6,1,14,10,6,10,5.7,0,,"PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",7.275,124.898,170,0,0,0,0,33,1,0,1,0,0,164,3,0,0,33,0,0,164
2013,10,15,0,12,5,19,7.1,7,,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",9.88,124.117,170,222,3,8,1,976,3,51,4,0,4,0,4,222,8,976,51,0,0
2014,9,20,4,26,52,26,5.2,5,,PHILIPPINES:  BARANGAY LUAYON,6.864,125.233,170,0,0,0,0,1,1,0,1,15,1,67,2,0,0,1,0,15,67
