EQ_ID,EQ_country,EQ_var,DH_ID,DH_country,DH_var,MS_ID,MS_country,MS_var,IN_ID,IN_country,IN_var,DD_ID,DD_country,DD_var,HT_ID,HT_country,HT_var,HM_ID,HM_country,HM_var
2,CHINA,119,90,HAITI,316000,91,NEPAL,366,2,CHINA,426323,5,JAPAN,266484,2,CHINA,7071810,2,CHINA,7240438
7,INDONESIA,99,2,CHINA,91397,2,CHINA,211,1,INDIA,167403,2,CHINA,90766,1,INDIA,346177,29,CHILE,513221
3,IRAN,65,43,PAKISTAN,77293,13,PHILIPPINES,70,43,PAKISTAN,147999,29,CHILE,30700,91,NEPAL,299590,7,INDONESIA,461924
5,JAPAN,62,3,IRAN,33061,23,PERU,68,3,IRAN,54597,39,ITALY,25096,7,INDONESIA,278430,1,INDIA,443534
15,USA,47,1,INDIA,20145,63,COSTA RICA,17,7,INDONESIA,50993,49,NEW ZEALAND,24500,5,JAPAN,213949,5,JAPAN,288877
1,INDIA,46,7,INDONESIA,9906,39,ITALY,15,90,HAITI,30000,7,INDONESIA,15658,22,EL SALVADOR,149617,91,NEPAL,269107
8,TURKEY,38,91,NEPAL,8319,66,ECUADOR,9,91,NEPAL,20668,91,NEPAL,10000,49,NEW ZEALAND,100103,90,HAITI,188383
13,PHILIPPINES,29,46,ALGERIA,2289,29,CHILE,1,5,JAPAN,15491,31,MEXICO,9450,90,HAITI,97294,22,EL SALVADOR,185621
29,CHILE,26,17,AFGHANISTAN,1717,69,VIETNAM,0,29,CHILE,12317,90,HAITI,8000,23,PERU,64035,31,MEXICO,87806
23,PERU,26,5,JAPAN,1605,36,FIJI,0,46,ALGERIA,11340,43,PAKISTAN,6680,46,ALGERIA,43062,17,AFGHANISTAN,83282
49,NEW ZEALAND,25,22,EL SALVADOR,1162,72,TONGA,0,22,EL SALVADOR,8129,46,ALGERIA,5000,43,PAKISTAN,37848,3,IRAN,50256
43,PAKISTAN,22,8,TURKEY,962,87,MACEDONIA,0,66,ECUADOR,6444,15,USA,3310,3,IRAN,34406,46,ALGERIA,43062
31,MEXICO,22,39,ITALY,696,77,THAILAND,0,8,TURKEY,4738,66,ECUADOR,3300,17,AFGHANISTAN,33473,66,ECUADOR,29858
14,RUSSIA,20,66,ECUADOR,669,27,VANUATU,0,23,PERU,4288,1,INDIA,2664,13,PHILIPPINES,15756,43,PAKISTAN,19427
6,GREECE,18,57,MOROCCO,629,47,INDIAN OCEAN,0,39,ITALY,2445,8,TURKEY,1500,39,ITALY,15000,50,MYANMAR (BURMA),10334
17,AFGHANISTAN,18,23,PERU,618,11,AUSTRALIA,0,17,AFGHANISTAN,2413,3,IRAN,1247,8,TURKEY,9054,8,TURKEY,8257
